Dia,Ground_Truth,LSTM_Pred,SmoothAE_Pred,BasicAE_Pred
0,0.0003016439595797089,0.00029810308,0.00030008648,0.0002997086
1,0.0004086717052379916,0.0004098826,0.00043449237,0.0004804184
2,0.0005637390444589681,0.00057641335,0.00068496115,0.00064156856
3,0.0007772359358503845,0.00073548435,0.0008985218,0.0007478012
4,0.0010088314648165836,0.0009410206,0.0010852112,0.00073026185
5,0.0013118160642166471,0.0012061105,0.0001802338,0.00031726298
6,0.001654349538317162,0.0016220381,0.00021580867,0.0
7,0.002022634468966982,0.002346272,0.004347086,0.0
8,0.002546266038800352,0.0034057465,0.0070087104,0.0
9,0.003200051391193113,0.004473832,0.016496593,0.0
10,0.004027728900284326,0.005048245,0.0011522928,0.0
11,0.005070802540512459,0.0052133813,0.0023536119,0.0
12,0.006372452086091423,0.006917463,0.008638217,0.0025537757
13,0.007936476016512211,0.009076796,0.011321155,0.004223418
14,0.009868114557672655,0.011090463,0.017530391,0.011564316
15,0.012253447958037976,0.012916347,0.016239747,0.019078929
16,0.015062982141560387,0.016512973,0.021318747,0.024186298
17,0.018293924108614176,0.020837938,0.028157445,0.028069234
18,0.021812600897111484,0.024839241,0.03199823,0.026613856
19,0.02549930454309319,0.027872132,0.033711195,0.028166873
20,0.029158245772795056,0.029563962,0.032704946,0.02944432
21,0.0324676710293321,0.03208098,0.034900323,0.030388009
22,0.035298655449980156,0.035678558,0.03769431,0.02962847
23,0.03748674721677588,0.03764599,0.035781384,0.027337687
24,0.03864589792144968,0.038798936,0.035299305,0.031391334
25,0.03880225004049851,0.040175304,0.030366529,0.029756667
26,0.03808696283634699,0.03971073,0.028578162,0.028187867
27,0.03653187650472855,0.03827092,0.027105164,0.024154633
28,0.034248264150732594,0.035792835,0.02498069,0.023423819
29,0.03148073668158128,0.032194424,0.02244947,0.022677885
30,0.028371625358202195,0.027874228,0.019871056,0.019886896
31,0.02522827185941157,0.02389444,0.018085476,0.018022647
32,0.022274339595238498,0.020573726,0.018395403,0.017222423
33,0.019372859864036782,0.017570296,0.015320511,0.015688088
34,0.016697222082572242,0.014921371,0.013056876,0.014137735
35,0.014293734184639615,0.012400455,0.011321844,0.0125719495
36,0.0121907171864439,0.010278021,0.01031655,0.011966455
37,0.010355437132371423,0.008525993,0.009243271,0.010265112
38,0.008762086705880379,0.007168924,0.007994939,0.00920495
39,0.007398320848625007,0.0059949285,0.006649264,0.008398472
40,0.006266038800350802,0.004950136,0.005706625,0.008149174
41,0.005279048592607488,0.0040888777,0.005584288,0.0069862707
42,0.004423999687184043,0.0035247065,0.004569995,0.0058313864
43,0.003699328004290046,0.0030011446,0.0037422427,0.0053380206
44,0.003099000664733911,0.0025369907,0.0030920946,0.005012945
45,0.002615979309458773,0.0021309184,0.0027650858,0.004193946
46,0.0021598824705757495,0.0017793609,0.0025884793,0.0034352492
47,0.0017960663393271111,0.0014780742,0.002377345,0.0034079275
48,0.0014772175020528547,0.0012232699,0.0017907145,0.0043623727
49,0.0012234455560582959,0.0010030277,0.0014700496,0.0066733663
50,0.0009984415062088377,0.0008201173,0.0013240319,0.013156887
51,0.0008267837492109775,0.00066417333,0.0012258322,0.0056839436
52,0.000672163289930119,0.00053774106,0.0011402549,0.0022962152
53,0.0005517291460682941,0.00043751128,0.0010392795,0.0013099228
54,0.0004444779604399534,0.0003489772,0.0008302918,0.0012671781
55,0.0003595707718175167,0.00028373327,0.00083075406,0.0013530954
56,0.00028823756137616685,0.00024369798,0.0006244038,0.0011626176
57,0.00023997452784341327,0.00020673103,0.0004902714,0.001055796
58,0.00020014635318038872,0.00017602625,0.00042035352,0.0009922181
59,0.00016372563806076447,0.00014927908,0.00033581356,0.00070043973
60,0.00013071238248454074,0.0001262137,0.0003201523,0.00057792186
61,0.00010680430568822304,0.00010578926,0.000312376,0.0009133736
62,8.742088828560096e-05,8.809876e-05,0.00039174643,0.00041443284
63,6.898709075572987e-05,7.339498e-05,9.7095144e-05,0.0003458782
64,5.45752126869215e-05,6.12471e-05,8.984504e-05,0.00021836888
65,4.29563342438512e-05,5.155624e-05,6.190046e-05,0.00033176458
66,3.468905535166659e-05,4.308035e-05,0.00011108756,0.00014932036
67,2.7929996257380496e-05,3.620242e-05,4.7060956e-05,0.00031861663
68,2.1170937163094424e-05,3.0491277e-05,3.93454e-05,0.00023081033
69,1.798691758975305e-05,2.5734047e-05,0.0,0.00027876094
70,1.284779827839503e-05,2.2107148e-05,0.0,0.00037173973
71,1.0501678592775066e-05,1.8755516e-05,0.0,0.00016818255
72,8.881738809847002e-06,1.5924968e-05,0.0,6.225951e-05
73,7.317659019433692e-06,1.4155759e-05,0.0,1.2553862e-05
74,5.530139258961338e-06,1.2884961e-05,0.0,0.0
75,3.463319535915182e-06,1.1604297e-05,0.0,0.0
76,2.681279640708528e-06,1.067822e-05,4.23127e-05,0.0
77,1.4523598053837858e-06,9.7919765e-06,6.357219e-05,0.0
78,1.173059842809981e-06,8.9314735e-06,8.021598e-05,1.6897106e-06
79,1.173059842809981e-06,8.304423e-06,1.762872e-05,2.6018553e-05
80,9.496198727509371e-07,7.783431e-06,1.5085219e-05,0.0
81,7.820398952066541e-07,7.334872e-06,0.0,0.0
82,6.144599176623711e-07,6.8775703e-06,0.0,0.00010018377
83,2.7929996257380504e-07,6.5649206e-06,1.0109111e-05,0.0
84,2.7929996257380504e-07,6.267954e-06,0.0,5.9775048e-05
85,5.5859992514761e-08,5.9818226e-06,0.0,0.0
86,0.0,5.71879e-06,0.0,0.0
87,0.0,5.526812e-06,1.9035646e-05,0.0
88,0.0,5.209069e-06,1.2117418e-05,4.2269046e-05
89,0.0,5.0637723e-06,0.0,0.0
90,0.0,4.765681e-06,4.7102094e-05,0.0
91,0.0,4.5274423e-06,6.7898276e-05,0.0
92,0.0,4.289724e-06,5.4633394e-05,0.0
93,0.0,4.120491e-06,2.3919272e-05,0.0
94,0.0,3.919847e-06,3.0763022e-06,0.0
95,0.0,3.7849873e-06,0.0,0.0
96,0.0,3.689856e-06,0.0,0.0
97,0.0,3.523643e-06,1.773353e-06,0.0
98,0.0,3.3630631e-06,5.190755e-06,0.0
99,0.0,3.1687118e-06,6.382647e-07,0.0
