scenario,t_origin,t_target,days_ahead,target_val,forecast_median,p10,p90,reference_peak_predicted,global_relative_bandwidth,local_relative_bandwidth,is_predictable
pre_peak,21,22,1,0.007685833415139476,0.007162657,0.0042939745,0.010517669,0.014136340469121933,0.44026205,0.8689085841178894,True
pre_peak,21,23,2,0.008508837646669803,0.0077821044,0.004714021,0.011517159,0.014136340469121933,0.4812517,0.8742028474807739,True
pre_peak,21,24,3,0.009372968839610016,0.008364223,0.005113231,0.0124348765,0.014136340469121933,0.51793075,0.8753527402877808,True
pre_peak,21,25,4,0.010309743886497856,0.009190485,0.00562491,0.013720065,0.014136340469121933,0.5726486,0.8808192014694214,True
pre_peak,21,26,5,0.011167933370189155,0.009853325,0.005972116,0.014929578,0.014136340469121933,0.6336479,0.9090802073478699,True
pre_peak,21,27,6,0.012091636656729377,0.010551263,0.006355019,0.016329957,0.014136340469121933,0.70562375,0.9453786015510559,True
pre_peak,21,28,7,0.012943367760802288,0.011215665,0.0067975456,0.017657306,0.014136340469121933,0.76821584,0.9682671427726746,False
pre_peak,21,29,8,0.013742656822373895,0.011686923,0.0071345125,0.018604266,0.014136340469121933,0.8113665,0.981417715549469,False
pre_peak,21,30,9,0.014385343094958843,0.011904705,0.007240791,0.019050853,0.014136340469121933,0.83543986,0.9920499324798584,False
pre_peak,21,31,10,0.015005244204250125,0.012236169,0.0073525026,0.018788703,0.014136340469121933,0.8089929,0.934622585773468,False
pre_peak,21,32,11,0.01542447054203889,0.012849454,0.0076271305,0.018534768,0.014136340469121933,0.77160263,0.8488795161247253,False
pre_peak,21,33,12,0.0157143226193121,0.013197891,0.007964523,0.01869715,0.014136340469121933,0.7592225,0.813207745552063,False
pre_peak,21,34,13,0.016016213116194004,0.013644025,0.008341039,0.019156808,0.014136340469121933,0.76510394,0.792711079120636,False
pre_peak,21,35,14,0.016041994967630605,0.014050087,0.008628567,0.018946743,0.014136340469121933,0.7299043,0.7343851923942566,False
pre_peak,21,36,15,0.015888957204193293,0.0141363405,0.008899659,0.018476944,0.014136340469121933,0.677494,0.6774939894676208,False
pre_peak,21,37,16,0.015493601037474105,0.013431031,0.009085119,0.01787232,0.014136340469121933,0.6216037,0.6542462706565857,False
pre_peak,21,38,17,0.014990570765757154,0.012433205,0.009310155,0.017437724,0.014136340469121933,0.5749415,0.6536986231803894,False
pre_peak,21,39,18,0.014451166900029446,0.011842014,0.009169678,0.016823936,0.014136340469121933,0.5414597,0.6463645100593567,False
pre_peak,21,40,19,0.0137576919301255,0.011236479,0.0083311815,0.015970482,0.014136340469121933,0.5404015,0.6798660159111023,False
pre_peak,21,41,20,0.013052075206538987,0.010831857,0.008045887,0.0151139,0.014136340469121933,0.49998894,0.6525209546089172,False
pre_peak,21,42,21,0.01230817320857466,0.010637468,0.007767809,0.015048156,0.014136340469121933,0.5150093,0.6844059824943542,False
pre_peak,21,43,22,0.011495450717396806,0.010589637,0.0073127565,0.01510161,0.014136340469121933,0.55098087,0.7355165481567383,False
pre_peak,21,44,23,0.01070944008432061,0.010157993,0.0069573424,0.014527489,0.014136340469121933,0.53550965,0.7452404499053955,False
pre_peak,21,45,24,0.009932057846414566,0.009746025,0.0061819507,0.013410951,0.014136340469121933,0.5113771,0.7417383193969727,False
pre_peak,21,46,25,0.009134525464099161,0.008998558,0.0054407474,0.013227151,0.014136340469121933,0.5508076,0.8652945756912231,False
pre_peak,21,47,26,0.008399406862415847,0.008254947,0.004754699,0.01290595,0.014136340469121933,0.57661676,0.9874382615089417,False
pre_peak,21,48,27,0.007671728314052916,0.007939106,0.0041300915,0.012291989,0.014136340469121933,0.5773699,1.0280625820159912,False
pre_peak,21,49,28,0.006970399954533007,0.0071861413,0.0035447727,0.011257667,0.014136340469121933,0.54560757,1.0733011960983276,False
pre_peak,21,50,29,0.0062492831198623575,0.0064328406,0.0030265308,0.010638524,0.014136340469121933,0.53846985,1.1833019256591797,False
pre_peak,21,51,30,0.005680480710111756,0.005684954,0.0025540006,0.00990272,0.014136340469121933,0.519846,1.2926613092422485,False
pre_peak,21,52,31,0.005122063374787519,0.0050095636,0.002150651,0.008968371,0.014136340469121933,0.48228323,1.3609408140182495,False
pre_peak,21,53,32,0.004577027802032579,0.0044267126,0.0018168106,0.008156202,0.014136340469121933,0.44844642,1.4320765733718872,False
pre_peak,21,54,33,0.004106341095444516,0.003866649,0.0015022312,0.0072362586,0.014136340469121933,0.40562317,1.4829448461532593,False
pre_peak,21,55,34,0.0036525495099381526,0.0034424993,0.0012639592,0.006814057,0.014136340469121933,0.39261204,1.6122291088104248,False
pre_peak,21,56,35,0.0032887102357566905,0.0032057138,0.0011213167,0.0068407585,0.014136340469121933,0.4045914,1.78413987159729,False
pre_peak,21,57,36,0.0029210476008411394,0.0029478427,0.0009803153,0.006537871,0.014136340469121933,0.39313963,1.8852958679199219,False
pre_peak,21,58,37,0.002605465339168264,0.0027338802,0.0008579902,0.0062262374,0.014136340469121933,0.37974802,1.9636000394821167,False
pre_peak,21,59,38,0.002262396213839532,0.0025428217,0.00074564415,0.005885033,0.014136340469121933,0.36355862,2.0211360454559326,False
pre_peak,21,60,39,0.002014549437604303,0.002349181,0.0006438461,0.005527284,0.014136340469121933,0.34545276,2.0787830352783203,False
pre_peak,21,61,40,0.001784837791337504,0.0021291468,0.0005490713,0.0051297536,0.014136340469121933,0.3240359,2.151416778564453,False
pre_peak,21,62,41,0.0015681462383813748,0.0019109498,0.0004633599,0.004714819,0.014136340469121933,0.3007468,2.2247884273529053,False
pre_peak,21,63,42,0.0013816799020392979,0.001709308,0.0003895216,0.004320456,0.014136340469121933,0.278073,2.299722909927368,False
pre_peak,21,64,43,0.001199553596800777,0.0015248905,0.00032654477,0.0039510895,0.014136340469121933,0.2563991,2.3769211769104004,False
pre_peak,21,65,44,0.001054885893348902,0.0013654552,0.0002748683,0.0036298211,0.014136340469121933,0.23732825,2.457021474838257,False
pre_peak,21,66,45,0.0009017964628746503,0.001206778,0.0002285614,0.0032945978,0.014136340469121933,0.2168904,2.540679693222046,False
pre_peak,21,67,46,0.0007618821268219091,0.0010655075,0.00019015362,0.0029910097,0.014136340469121933,0.19813162,2.6286590099334717,False
pre_peak,21,68,47,0.0006604597332947553,0.00093572703,0.00015768252,0.002704643,0.014136340469121933,0.18017113,2.721905469894409,False
pre_peak,21,69,48,0.0005664257260510369,0.00081633235,0.00013024642,0.0024335927,0.014136340469121933,0.16293795,2.8215789794921875,False
pre_peak,21,70,49,0.0004968302272832955,0.00071528065,0.00010880734,0.0022116108,0.014136340469121933,0.14875162,2.9398298263549805,False
pre_peak,21,71,50,0.0004410814944173766,0.00061105064,8.916078e-05,0.0019683535,0.014136340469121933,0.13293347,3.0753469467163086,False
pre_peak,21,72,51,0.0003887427859899663,0.00051668927,7.2607734e-05,0.0017378757,0.014136340469121933,0.1178005,3.2229583263397217,False
pre_peak,21,73,52,0.0003373857512645507,0.00045215152,6.1460756e-05,0.0015918147,0.014136340469121933,0.10825673,3.3846042156219482,False
pre_peak,21,74,53,0.0002831353624700977,0.00040045517,5.2900185e-05,0.0014793822,0.014136340469121933,0.10090886,3.5621514320373535,False
pre_peak,21,75,54,0.0002468651025332348,0.0003468722,4.4749988e-05,0.0013480462,0.014136340469121933,0.09219474,3.7572808265686035,False
pre_peak,21,76,55,0.000217001555177812,0.0003035545,3.844151e-05,0.0012439678,0.014136340469121933,0.085278526,3.9713668823242188,False
pre_peak,21,77,56,0.00018093796338873765,0.00026281408,3.2731128e-05,0.0011341375,0.014136340469121933,0.07791312,4.19081974029541,False
pre_peak,21,78,57,0.00015944447601874475,0.00022462099,2.7598848e-05,0.0010200326,0.014136340469121933,0.07020443,4.418259143829346,False
pre_peak,21,79,58,0.00013614264235560356,0.00019394887,2.3645722e-05,0.00093599886,0.014136340469121933,0.06453956,4.7040910720825195,False
pre_peak,21,80,59,0.00011656083535265335,0.00016746069,2.038248e-05,0.0008595343,0.014136340469121933,0.05936132,5.011037826538086,False
pre_peak,21,81,60,0.00010013071760347617,0.00014435867,1.765599e-05,0.00078814407,0.014136340469121933,0.054504067,5.33731746673584,False
pre_peak,21,82,61,8.530227799965901e-05,0.0001230751,1.5230492e-05,0.0007143946,0.014136340469121933,0.049458634,5.680792808532715,False
pre_peak,21,83,62,7.595054431223423e-05,0.00010623524,1.3403103e-05,0.00065517565,0.014136340469121933,0.045398775,6.041051387786865,False
pre_peak,21,84,63,6.32404532232481e-05,9.084288e-05,1.1835628e-05,0.00059754134,0.014136340469121933,0.041432623,0.0,False
pre_peak,21,85,64,5.1822038057939436e-05,7.7384175e-05,1.0489656e-05,0.0005417798,0.014136340469121933,0.037583288,0.0,False
pre_peak,21,86,65,4.433031770061019e-05,6.586624e-05,9.357172e-06,0.00048956333,0.014136340469121933,0.033969622,0.0,False
pre_peak,21,87,66,4.1230295483784295e-05,5.65694e-05,8.481123e-06,0.0004450307,0.014136340469121933,0.030881371,0.0,False
pre_peak,21,88,67,3.7665269934434525e-05,4.7327136e-05,7.5368057e-06,0.00039273794,0.014136340469121933,0.027249,0.0,False
pre_peak,21,89,68,3.156855957467695e-05,4.0814997e-05,6.9449643e-06,0.0003559444,0.014136340469121933,0.024688102,0.0,False
pre_peak,21,90,69,2.74351966189091e-05,3.4076216e-05,6.2280974e-06,0.00031106835,0.014136340469121933,0.021564297,0.0,False
pre_peak,21,91,70,2.3508501810929648e-05,2.8732138e-05,5.666094e-06,0.0002733925,0.014136340469121933,0.018938879,0.0,False
pre_peak,21,92,71,1.6326783675283005e-05,2.4185789e-05,5.1652805e-06,0.00023882046,0.014136340469121933,0.01652869,0.0,False
pre_peak,21,93,72,1.3381762569298414e-05,2.0670586e-05,4.7943718e-06,0.000210832,0.014136340469121933,0.0145750325,0.0,False
pre_peak,21,94,73,1.2348421830356452e-05,1.75327e-05,4.4248222e-06,0.00018381358,0.014136340469121933,0.0126899015,0.0,False
pre_peak,21,95,74,1.0798410721943508e-05,1.5134976e-05,4.1600747e-06,0.00016226018,0.014136340469121933,0.011183949,0.0,False
pre_peak,21,96,75,7.233385172593737e-06,1.3234184e-05,3.9615825e-06,0.00014429934,0.014136340469121933,0.009927446,0.0,False
pre_peak,21,97,76,5.0117025838685175e-06,1.1380213e-05,3.7063205e-06,0.00012548141,0.014136340469121933,0.00861433,0.0,False
pre_peak,21,98,77,4.081695918820752e-06,9.824597e-06,3.4746652e-06,0.000108903245,0.014136340469121933,0.0074579827,0.0,False
pre_peak,21,99,78,2.9450211059845936e-06,8.414914e-06,3.2232927e-06,9.320835e-05,0.014136340469121933,0.006365513,0.0,False
