scenario,rank,beta_network,beta_household,delta,fermi_mu,rmse_known,mode
tpeak_plus_7,0,0.18042966460236476,2.6827016857527437,1.1341259480409887,20.69194321322512,0.00033849272529168085,surrogate
tpeak_plus_7,1,0.248708866718162,1.8710335865312004,0.9971869267345733,21.498208136409353,0.0006493612022803138,surrogate
tpeak_plus_7,2,0.1754991299964365,1.7250981485549282,0.8845954550019538,20.726370303950034,0.0012113584361428263,surrogate
tpeak_plus_7,3,0.2379174248042274,1.3766286584319725,0.8258006050002028,20.703163646577824,0.0012289381625228352,surrogate
tpeak_plus_7,4,0.1726508057755861,2.669006009942285,1.1164808111374445,20.415824489408774,0.0012669363436221342,surrogate
tpeak_plus_7,5,0.33724910914163025,2.9572821344345415,1.1946513633913254,19.4941109042715,0.0012738980812139148,surrogate
tpeak_plus_7,6,0.2687040929323977,2.5429340377482674,1.15597001551814,21.72622066330919,0.0015995979273602209,surrogate
tpeak_plus_7,7,0.2518394606090626,2.4629677391800158,1.182405410858716,23.27218502023691,0.0016390871142470899,surrogate
tpeak_plus_7,8,0.3413998051880205,2.5216610272997273,1.2673410492139268,27.568224124637204,0.0016519779788259456,surrogate
tpeak_plus_7,9,0.3160335751271125,3.95389602191341,1.4813590711750546,26.779222316481682,0.0017212562806918463,surrogate
tpeak_plus_7,10,0.4327426262071095,0.8993529737859369,1.0972385037761534,32.94218661083674,0.0017214094309436448,surrogate
tpeak_plus_7,11,0.20101002355126202,3.5156277409510825,1.1913138359780067,18.484184673982035,0.0018546221969927127,surrogate
tpeak_plus_7,12,0.3030211771153837,2.181857460623427,0.946508734694386,13.058204873911432,0.001930421402625633,surrogate
tpeak_plus_7,13,0.5746758230476868,3.6628437759362056,1.4597874464389,16.515215056934064,0.001952180313073898,surrogate
tpeak_plus_7,14,0.2360193821028222,2.5449659524818125,1.1627236762665047,23.03160400856203,0.0019704911484499594,surrogate
tpeak_plus_7,15,0.41536178956399006,2.066184676070857,1.3370239118935423,33.31745635297899,0.002253468106563297,surrogate
tpeak_plus_7,16,0.17450552639071615,3.0576539480976233,1.2217245739040814,22.216597340011386,0.00240418280111188,surrogate
tpeak_plus_7,17,0.5248641184719252,2.7361888973892396,1.2481469521985986,21.01145128229988,0.0028923755920996276,surrogate
tpeak_plus_7,18,0.28724108063251175,2.76439067476971,1.112457002110025,15.140557744567865,0.0029550197275874913,surrogate
tpeak_plus_7,19,0.6138832871193329,2.09194244495292,1.3490406132160475,29.56181555748479,0.0031461211720663273,surrogate
tpeak_plus_7,20,0.19568235670199136,1.6981727555349386,0.8518441746582083,17.206108695986284,0.003308739445191377,surrogate
tpeak_plus_7,21,0.2895943984832359,1.757152639885525,0.9492122779993354,21.797022825807908,0.0033810839238884115,surrogate
tpeak_plus_7,22,0.3256641706180301,2.8291273092953255,1.1945224336301776,18.15292711477382,0.003428192615839259,surrogate
tpeak_plus_7,23,0.060264942241142525,3.747395641277706,0.9951777421851096,7.422026867564206,0.003433376414522088,surrogate
tpeak_plus_7,24,0.20493789569302784,3.1151010249261524,1.1305985623096655,18.406208379468204,0.0035220674374059693,surrogate
tpeak_plus_7,25,0.385028904109597,3.0767228208398896,1.456589512938287,35.933858267611,0.0035253426724300564,surrogate
tpeak_plus_7,26,0.3344245596246121,3.4886052294780785,1.2529971578676764,21.704506636713745,0.003565030626569053,surrogate
tpeak_plus_7,27,0.20971229353296522,2.2806901939830784,0.917252943819275,15.633762383064285,0.0036009344160381983,surrogate
tpeak_plus_7,28,0.21412900230260834,3.3199094801923197,0.9871088703510416,5.9631363200595064,0.0036831374323527725,surrogate
tpeak_plus_7,29,0.22442148333750656,1.792507011003715,0.8660364324375756,19.330825187316485,0.003986670145232831,surrogate
