scenario,rank,beta_network,beta_household,delta,fermi_mu,rmse_known,mode
tpeak_minus_7,0,0.1565987494904845,3.2194657080765032,1.1321931513323236,16.562717893709788,0.0004228678052817297,surrogate
tpeak_minus_7,1,0.19531090985630634,3.466930877763652,1.2425364433301163,22.27340202261828,0.0005827076564392022,surrogate
tpeak_minus_7,2,0.15684949791399655,3.245489852573161,1.1451322984145549,17.758083463896025,0.0006310996379912216,surrogate
tpeak_minus_7,3,0.14268582974384864,2.23678962423705,1.039091690557635,21.425850917492756,0.0007652493659766076,surrogate
tpeak_minus_7,4,0.42752986043135693,0.5656683139443508,0.9811065002052023,31.183112380722697,0.0008010786831532326,surrogate
tpeak_minus_7,5,0.48528216875436375,1.4524950748596313,1.0361217115186385,22.47150308175601,0.0011847403508514855,surrogate
tpeak_minus_7,6,0.327756502705776,2.6877666064415036,1.054084325082295,14.346721995082994,0.0012399018946393032,surrogate
tpeak_minus_7,7,0.6628346209145122,0.5297423697508452,0.8640228934248965,22.990987987769294,0.0012635554558085716,surrogate
tpeak_minus_7,8,0.14123061360258105,3.364849263655698,1.472759169151376,35.222426229399865,0.0013484849699149208,surrogate
tpeak_minus_7,9,0.4118177790060263,3.248689028214667,1.3087742772242532,23.570602881360085,0.0013998585697570464,surrogate
tpeak_minus_7,10,0.16090070754948232,3.5414544596613418,1.1569147923118694,13.817726743364672,0.0015945247694967746,surrogate
tpeak_minus_7,11,0.18577107783773705,2.9272477941466093,1.2857279584690742,29.59242664802129,0.00173929302373957,surrogate
tpeak_minus_7,12,0.1971165665592198,1.847196070177455,0.8657041117827639,15.687560620038047,0.0017590394045663427,surrogate
tpeak_minus_7,13,0.30873191663520766,2.350921470523936,1.2654062903300023,26.85486779228494,0.0022321131885590416,surrogate
tpeak_minus_7,14,0.166287747746926,2.8029375066881395,1.0240625390281084,13.791663092081897,0.0022577100812219324,surrogate
tpeak_minus_7,15,0.32972750521277056,2.628037632421125,1.0245111642994187,13.604724511119663,0.002259764917082116,surrogate
tpeak_minus_7,16,0.14995314239659802,2.357651547657569,1.0560850565495004,18.46623191253788,0.002287869963656996,surrogate
tpeak_minus_7,17,0.3258383480813992,2.7120425810052033,1.053513154336512,14.554661325631786,0.0024787964592769382,surrogate
tpeak_minus_7,18,0.19089383300558607,3.2671668938256833,1.2434811090622315,20.850664003993703,0.0024825778978871406,surrogate
tpeak_minus_7,19,0.26286575739752277,3.032616576389866,1.0658641844588712,13.697004996851762,0.0024841554775273636,surrogate
tpeak_minus_7,20,0.19272449615839526,2.3233517286937393,1.1146498378851024,20.705020533641953,0.0024858126405448286,surrogate
tpeak_minus_7,21,0.38108774437685866,1.6812532143626875,1.4271130812486608,39.91462018306731,0.002588313597210748,surrogate
tpeak_minus_7,22,0.48586630873596326,2.424867245879728,1.385857508864916,28.443730220916287,0.0026393565184666483,surrogate
tpeak_minus_7,23,0.2631079278511473,3.0562344737358638,1.1918293255790962,22.228902699882646,0.0026416964506315037,surrogate
tpeak_minus_7,24,0.5087439890635516,3.515506955730712,1.4769807834695454,25.444191095403404,0.0030003069327661125,surrogate
tpeak_minus_7,25,0.21916803637450752,1.6669950848261428,0.9822737509926027,21.877774024600573,0.0030710380181987297,surrogate
tpeak_minus_7,26,0.4910939708437994,1.508405513513435,1.3369714065688807,39.78999696951451,0.0032708229500528533,surrogate
tpeak_minus_7,27,0.15291346573619186,2.8154719449588743,0.9844315428861848,12.401376900372274,0.0033802008555299285,surrogate
tpeak_minus_7,28,0.3137151516042595,2.236305675232211,1.3056666369848768,28.892089417043405,0.0033907429484947493,surrogate
tpeak_minus_7,29,0.2356205317984156,3.240286220997158,1.2396850162078483,26.078492991831205,0.0034322628758355522,surrogate
