scenario,mode,t_peak,t_cut,forecast_start,forecast_end,rmse_forecast,mae_forecast,r2_forecast,coverage_10_90,peak_time_error_days,peak_height_relative_error,calibration_runtime_seconds,forecast_runtime_seconds
tpeak_minus_14,surrogate,34,20,21,34,0.00046733618374642877,0.00042208601037839417,0.974168739237683,1.0,0,0.03554275311531265,1.646798849105835,0.16515278816223145
tpeak_minus_7,surrogate,34,27,28,41,0.0016248895480189553,0.0015625967074112841,-1.6679093056295469,1.0,0,-0.09975667285968201,1.572098970413208,0.15126681327819824
tpeak_plus_7,surrogate,34,41,42,55,0.0005462740805156796,0.0004255207555268507,0.9603358875709793,1.0,0,-0.11186893798987152,1.4833478927612305,0.15190505981445312
