scenario,t,target_value,forecast_mean,forecast_median,forecast_p10,forecast_p90,is_hidden_horizon
tpeak_minus_14,21,0.006934904700150351,0.006040697917342186,0.005821556318551302,0.003652934916317463,0.008890224620699883,True
tpeak_minus_14,22,0.007843004541532549,0.006946486420929432,0.006718737073242664,0.004147735424339771,0.010355055332183838,True
tpeak_minus_14,23,0.008665543769730352,0.007644946221262217,0.007428153418004513,0.004510281141847372,0.011438004672527313,True
tpeak_minus_14,24,0.009590125395898671,0.00831246841698885,0.008107539266347885,0.004842448513954878,0.012386268004775047,True
tpeak_minus_14,25,0.010457873281425181,0.009230619296431541,0.009029772132635117,0.005302499979734421,0.013730592094361782,True
tpeak_minus_14,26,0.011410665109766618,0.009994912892580032,0.00980332400649786,0.005654487758874893,0.01485687680542469,True
tpeak_minus_14,27,0.012293293101933904,0.010797523893415928,0.010627036914229393,0.005990189965814352,0.016023781150579453,True
tpeak_minus_14,28,0.013162487664494928,0.01155911386013031,0.011439771391451359,0.006284769158810377,0.017110930755734444,True
tpeak_minus_14,29,0.01386340268771926,0.012105761095881462,0.012082149274647236,0.006473646033555269,0.018343424424529076,True
tpeak_minus_14,30,0.01453729585062026,0.012372487224638462,0.012462528422474861,0.006539031397551298,0.019126925617456436,True
tpeak_minus_14,31,0.015012167587201036,0.01266834232956171,0.012680565007030964,0.006655824836343527,0.019456392154097557,True
tpeak_minus_14,32,0.015468387523443913,0.013166900724172592,0.01306590810418129,0.0069199069403111935,0.01985272392630577,True
tpeak_minus_14,33,0.015767591334404564,0.013687679544091225,0.013422274962067604,0.007239874918013811,0.02020663022994995,True
tpeak_minus_14,34,0.015875885443845675,0.014201943762600422,0.013744791969656944,0.007600411307066679,0.020476005971431732,True
tpeak_minus_7,28,0.013162487664494928,0.011610176414251328,0.0107527244836092,0.007067043334245682,0.01703864336013794,True
tpeak_minus_7,29,0.01386340268771926,0.012121083214879036,0.01120993122458458,0.007266927510499954,0.017741449177265167,True
tpeak_minus_7,30,0.01453729585062026,0.012348530814051628,0.011433707550168037,0.007324861828237772,0.018131958320736885,True
tpeak_minus_7,31,0.015012167587201036,0.01259921956807375,0.011704361997544765,0.007464686408638954,0.01798274926841259,True
tpeak_minus_7,32,0.015468387523443913,0.013041883707046509,0.012170912697911263,0.007823844440281391,0.017810868099331856,True
tpeak_minus_7,33,0.015767591334404564,0.013493110425770283,0.012657945975661278,0.008257988840341568,0.01793827675282955,True
tpeak_minus_7,34,0.015875885443845675,0.013921077363193035,0.013210218399763107,0.008762765675783157,0.01851731166243553,True
tpeak_minus_7,35,0.015841526864275864,0.013992042280733585,0.013389354571700096,0.00911934208124876,0.018598351627588272,True
tpeak_minus_7,36,0.01567185231494159,0.013872306793928146,0.013201301917433739,0.009375642985105515,0.018398918211460114,True
tpeak_minus_7,37,0.015383653582850675,0.01359078660607338,0.012770852074027061,0.009515554644167423,0.01797810196876526,True
tpeak_minus_7,38,0.014906198494422545,0.013364793732762337,0.01189405471086502,0.00949129182845354,0.01764729619026184,True
tpeak_minus_7,39,0.014285625713650947,0.012996585108339787,0.011400642804801464,0.009194443002343178,0.017119674012064934,True
tpeak_minus_7,40,0.013667584617689759,0.012438774108886719,0.011500305496156216,0.008718161843717098,0.016337832435965538,True
tpeak_minus_7,41,0.012985528062951123,0.011874811723828316,0.011528262868523598,0.008183239959180355,0.015544747933745384,True
tpeak_plus_7,42,0.012166708861413508,0.011181934736669064,0.010691970586776733,0.008264061994850636,0.0147381741553545,True
tpeak_plus_7,43,0.011351558019499141,0.010926738381385803,0.01050400361418724,0.007832289673388004,0.014811918139457703,True
tpeak_plus_7,44,0.010558934005693712,0.010563760995864868,0.010022977367043495,0.007205442991107702,0.015029756352305412,True
tpeak_plus_7,45,0.009829705446222362,0.010108904913067818,0.00931709073483944,0.006622040644288063,0.014811962842941284,True
tpeak_plus_7,46,0.00899027109694286,0.009579201228916645,0.008784390054643154,0.00605684332549572,0.01457346510142088,True
tpeak_plus_7,47,0.008230610652709674,0.00899513904005289,0.00810718722641468,0.00533201452344656,0.01410737819969654,True
tpeak_plus_7,48,0.007562710866094543,0.008384746499359608,0.0073970891535282135,0.004659739322960377,0.013338593766093254,True
tpeak_plus_7,49,0.00690390447798209,0.00771775096654892,0.0066649639047682285,0.004022647626698017,0.012822169810533524,True
tpeak_plus_7,50,0.006315623595302434,0.007063218392431736,0.00597356865182519,0.0034543562214821577,0.012352189049124718,True
tpeak_plus_7,51,0.00575875627108661,0.006387031637132168,0.005284331273287535,0.0029354223515838385,0.011523986235260963,True
tpeak_plus_7,52,0.005219714074617534,0.005762659013271332,0.004660460166633129,0.002495920518413186,0.010702316649258137,True
tpeak_plus_7,53,0.004755382413573965,0.005216552410274744,0.004121461883187294,0.0021276851184666157,0.009949428029358387,True
tpeak_plus_7,54,0.004292445762527965,0.004623528104275465,0.003567019011825323,0.001774247270077467,0.009035804308950901,True
tpeak_plus_7,55,0.00388215782213106,0.004172278568148613,0.0031419142615050077,0.0015047321794554591,0.0083362627774477,True
