scenario,peak_mode,peak_date,t_cut_date,beta_network,beta_household,delta,fermi_mu,scale_factor,calibration_rmse,mode,runtime_seconds
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.41900302721975685,2.7491855152625626,1.471462171618061,29.81404905948672,2552339.330380459,708.2472099815059,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.18025516044707524,1.9818194528012671,0.9233126123657421,17.67435252830618,1352045.7939053678,737.0605695235373,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.19907270886728248,1.805548844164286,0.8483507605608037,15.421282187170917,1539134.4370496138,737.3735561200942,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.194075015424446,3.04061550449272,1.1974472911923073,21.623231912111876,1101612.3837099508,749.0636663091938,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.3235431812241563,0.7074522746485763,0.6065682024650979,11.539242171468636,3288565.605591841,751.277220329092,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.7200896547501211,1.2616829989983016,0.9626454145207315,12.158841843742815,3566264.48601923,774.2825739699477,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.18923382015076262,2.909731882535569,1.1784818405819815,23.421526259147782,691158.0781711097,793.7552874170744,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.4693126146625313,1.9558933117781534,1.2149209875788873,25.190899227613375,1332941.1046349637,794.255873247505,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.21358768203635156,2.751733961533451,0.9947298668352323,13.528835076231887,954495.3495949331,814.6024163904618,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.19342349396658737,1.8784244676481274,0.8588880769471884,19.2891744977331,588045.085305725,824.3922083083619,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.24133282891946126,2.8520068295338405,1.2227748207692712,21.511662588426745,1273383.5344028708,824.8310225853384,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.2436,2.544,1.0552,19.2075,499699.42418228096,845.201763031502,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.6191402196107635,2.376409166050956,1.3896455154628626,29.477325463450157,1032038.2098148674,891.5683413942199,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.0801307254387831,0.7973715306630804,0.5438899085312366,19.531472100831795,4379058.10097797,892.845645095436,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.3847816944103463,1.3930896874858492,1.2630159336827804,32.20483989254873,6094380.710032175,946.3898617127264,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.21255845274558705,2.13575396310261,1.1567797248398337,32.19265951246802,546531.7862097481,965.1429263534781,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.7047827141055317,2.242967314727311,1.1401874765957905,16.111672602220626,523660.2328114947,968.1308538508835,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.26718684842522367,2.716706812074174,1.0610183651910279,18.36310385706836,363730.13395961135,983.1384506919017,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.18447958735120973,1.541351677212989,0.9883540088102253,30.71689933394787,491085.21775204473,1007.1514349525504,surrogate,0.5922422409057617
tpeak_minus_14,raw,2022-02-11,2022-01-28,0.21994701217919058,2.648107882246723,1.1778297089984942,19.67932787797528,1927820.9015022074,1026.4175442919573,surrogate,0.5922422409057617
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.7047505879659676,1.1220577043541553,0.6691029616120032,5.992533679034153,768808.0603745008,1193.883433487779,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.23025348562845396,3.2304328247860985,1.1925453997978863,18.19047958056409,1395344.7016924778,1256.151111840925,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.2564142497508252,0.6113684199787941,0.3906902034417907,10.288338771737465,451678.26518972585,1283.778266584801,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.21407642662379667,1.9346982952350313,0.9597442793279889,17.936378113884693,2194039.84859289,1386.0388717012663,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.7946509713394307,3.2179033986339745,1.3630359246049737,10.064743345449033,2448801.121694389,1443.2685846868542,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.2577449428807161,3.056801286368649,1.2154847295055204,18.819020798584877,2219031.8585230135,1501.9809457907243,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.34821120639396,3.3444813626348022,1.1194462498965316,8.277845140006663,1954930.2206115862,1531.8686228527258,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.2583805264060867,2.9350243744595086,1.0073688530455458,8.561644911827061,1664503.1069156576,1600.7001150102546,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.21426245304858346,2.3080341122963928,0.8723759680041494,14.045666104264686,686472.0771866029,1613.3598832513753,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.30713841595039487,3.1984174261619187,1.1431265227770242,15.761205640615124,893622.6066365186,1702.659756966655,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.2845883466458834,2.8846591511395654,1.2001664488133208,20.419467143138164,1342993.0632809324,1725.2457595248702,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.5706349081383293,1.7426187318510922,0.9739218600533709,14.731368821804658,900709.4539639542,1754.3052470119983,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.4782608396204893,3.1787353830621647,1.1057312280719878,7.0588216716429795,2268603.437604935,1765.2935720260014,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.7950673609463249,0.951941843570334,0.7510629553989298,10.782597153143827,601781.6852174598,1869.5059169515591,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.17889157076838177,1.7881928176870259,1.0626291708242215,23.267597743158095,4750885.457682491,1982.2082766155856,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.2215730911144403,2.3512376428268453,0.9496240069548284,17.08873685874497,643845.0757186747,2001.0685693689984,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.21283573929963295,2.6052037641681918,1.2159143566049058,20.27237281522592,3354700.9889749414,2247.991299041977,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.17922230077324672,2.163515125510762,1.097666957527867,20.078935897633972,4167046.837391208,2362.754874015919,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.17950705514459533,2.4795632680987594,0.9026759301098384,16.022830364016116,500598.18400366494,2392.8072773975396,surrogate,0.5606379508972168
tpeak_minus_7,raw,2022-02-11,2022-02-04,0.7147776892126945,1.9198890928591554,1.1134877588589978,10.536351905850506,4549961.708181573,2406.8322930365366,surrogate,0.5606379508972168
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.19436164375925175,2.9617849658651343,1.0506434279046646,14.06393731964524,1150619.7021245789,2695.534914845449,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.1749932499278817,3.2576725581620813,1.1457141090718794,15.439275474515123,1312861.1517813122,2756.6333860527075,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.08770421786526165,3.509171570650028,1.4859656408618482,35.876355915077426,1699921.5614978839,2760.188245783978,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.13418574052940974,1.535601775281687,0.5002343102924955,5.258333100654507,456190.3705371312,2776.8126728484744,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.23786754592915602,2.9734809501435184,1.1845471538294499,17.794262013001465,1750830.4169163671,2791.2987136768256,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.46895287107456674,3.2306152556435213,1.1946990770299737,11.819861225697437,1604759.3561093218,2812.643802737155,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.41638782461508234,3.0612293688281254,1.3487058587967073,19.883990998609125,2070472.3139640593,2910.808317007134,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.20777225114888226,3.0415889715420845,1.219304017942048,22.292446805763046,1539417.9781132273,2989.268472990853,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.19304834170160068,2.2283891947654295,0.9174269728121335,13.876698771551151,1380041.2524015438,3053.8450365113567,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.48370392544694796,3.235262454078613,1.1010084521224062,9.30534282045142,1012578.5622179512,3101.984693240089,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.24270118368476037,1.8529174288215873,1.0459645892099574,20.871634475796018,2428629.2546553626,3288.560264693284,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.24442993807643743,1.8345532267732412,0.9863959691687679,18.93503345835523,2042135.7938193455,3312.9893702282475,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.19678411800503254,3.190674236361248,1.2196966174122337,22.78341520177148,1330034.9356817864,3361.232807751587,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.2517925443926565,2.95558025597861,1.2117666895649082,17.663906240752233,2738232.6055091172,3533.0757952006593,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.08584938894012352,0.8767395404253687,0.404902620258017,13.184161656797814,726113.8020063338,3624.729272277773,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.06712285437172531,3.0913437101396415,0.8287939140833754,10.697239253911398,607151.614424413,3686.8405889693045,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.2930758949467006,2.1459013096076545,1.1726461175213423,20.9386626388855,4408215.0024802135,3719.245352156776,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.27999944224589607,2.6453487167185767,1.231234212183742,23.86250242926954,1482617.8548707154,3902.0182409919403,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.25738864031079983,2.9799002673806445,1.1481965959459572,18.612553173515256,1114683.5144816334,4010.5280207683636,surrogate,0.5550968647003174
tpeak_plus_7,raw,2022-02-11,2022-02-18,0.21274565447291055,2.8411692443802488,1.210213880016081,23.20679522196065,1244965.4742782023,4276.392552799551,surrogate,0.5550968647003174
