date,real_cases,lstm_target_cases
2022-01-01,1534.0,252.4694202735222
2022-01-02,1468.0,337.74895211753943
2022-01-03,1341.0,438.0202409234086
2022-01-04,1297.0,543.0870124276227
2022-01-05,1273.0,664.6920661940701
2022-01-06,1286.0,814.5817248127648
2022-01-07,1291.0,990.1479297184428
2022-01-08,1376.0,1235.2993044884236
2022-01-09,1323.0,1602.0753017882378
2022-01-10,1419.0,2061.7999560524277
2022-01-11,1512.0,2507.3297226087197
2022-01-12,1659.0,2802.4886468055847
2022-01-13,1839.0,2838.312727587061
2022-01-14,2708.0,2687.184293223868
2022-01-15,3314.0,3096.2044377029683
2022-01-16,3958.0,3653.735358232818
2022-01-17,4132.0,4205.627873390359
2022-01-18,4078.0,4705.07868755466
2022-01-19,4382.0,5250.459689002164
2022-01-20,4753.0,6343.07580166356
2022-01-21,5922.0,7690.888482840899
2022-01-22,8451.0,9008.271825942387
2022-01-23,9535.0,10150.26475657153
2022-01-24,8413.0,11016.450817036095
2022-01-25,9722.0,11673.659830194443
2022-01-26,10581.0,12616.943608090902
2022-01-27,11808.0,14051.351838955052
2022-01-28,13976.0,15235.509144673335
2022-01-29,14939.0,16314.792130427164
2022-01-30,17833.0,17517.995334549985
2022-01-31,15802.0,18860.092396534077
2022-02-01,13619.0,19871.661822131977
2022-02-02,19234.0,20728.88102593542
2022-02-03,21234.0,21326.984392797414
2022-02-04,21832.0,21509.654781132638
2022-02-05,21780.0,21218.227824459118
2022-02-06,21448.0,20566.54791304099
2022-02-07,13372.0,19858.12798586444
2022-02-08,11014.0,19313.46403500628
2022-02-09,19644.0,18744.409166276844
2022-02-10,21644.0,18158.51347416912
2022-02-11,22070.0,17408.889470979328
2022-02-12,21689.0,16453.35467080224
2022-02-13,20136.0,15409.946989432126
2022-02-14,11384.0,14295.649235851646
2022-02-15,7091.0,13272.352438067843
2022-02-16,17151.0,12206.40772902748
2022-02-17,16595.0,11076.168691419261
2022-02-18,16398.0,9932.098366351871
2022-02-19,18042.0,8892.33421257306
2022-02-20,16599.0,8181.568841565403
2022-02-21,9043.0,7436.290669082391
2022-02-22,6575.0,6711.002319826194
2022-02-23,9794.0,6020.253515772472
2022-02-24,8742.0,5370.962006482297
2022-02-25,7572.0,4765.947556862226
2022-02-26,7409.0,4207.115382181333
2022-02-27,6442.0,3705.5053422316337
2022-02-28,5409.0,3237.421410262807
2022-03-01,3421.0,2813.347005880548
2022-03-02,4514.0,2430.288609793943
2022-03-03,3562.0,2084.558556782682
2022-03-04,3422.0,1785.0014455191008
2022-03-05,3481.0,1539.5825577943785
2022-03-06,3155.0,1309.6661061358
2022-03-07,3096.0,1118.884997240618
2022-03-08,2748.0,978.7199465548645
2022-03-09,2642.0,876.9102023075592
2022-03-10,2402.0,778.1503075115693
2022-03-11,2595.0,692.5562071099685
2022-03-12,2381.0,613.7714733148517
2022-03-13,1923.0,541.4081569930737
2022-03-14,1547.0,474.26403587540483
2022-03-15,1264.0,411.8761374633978
2022-03-16,1569.0,355.0300522956983
2022-03-17,1560.0,305.6767116043933
2022-03-18,1486.0,263.1732677062236
2022-03-19,1472.0,226.87108125759556
2022-03-20,1398.0,194.72636213343768
2022-03-21,1352.0,166.146553723679
2022-03-22,1309.0,141.67822076321838
2022-03-23,1431.0,120.63762494979258
2022-03-24,1279.0,102.78780472678287
2022-03-25,1237.0,88.07848996911841
2022-03-26,1145.0,75.01049328501512
2022-03-27,1105.0,63.22744713974058
2022-03-28,998.0,53.33720000834267
2022-03-29,980.0,46.27433104629405
2022-03-30,1084.0,40.85557987614567
2022-03-31,931.0,35.677074568582064
2022-04-01,958.0,31.268466073926373
2022-04-02,917.0,27.4839462244058
2022-04-03,764.0,24.00843830168083
2022-04-04,759.0,20.842816720669568
2022-04-05,700.0,18.40245572720247
2022-04-06,734.0,16.32732933838717
2022-04-07,715.0,14.53988868038234
2022-04-08,743.0,12.953946062025578
2022-04-09,689.0,11.565853177839685
2022-04-10,617.0,10.465744834008705
2022-04-11,609.0,9.510597532762192
2022-04-12,508.0,8.670760352586823
2022-04-13,587.0,7.934423760445553
2022-04-14,604.0,7.317108387220986
2022-04-15,619.0,6.762004955820872
2022-04-16,671.0,6.190149278800637
2022-04-17,644.0,5.824490926374359
2022-04-18,628.0,5.3684209264519716
2022-04-19,624.0,4.976502505380643
2022-04-20,611.0,4.630466511420837
2022-04-21,579.0,4.330456888150056
2022-04-22,608.0,4.086485847518796
2022-04-23,603.0,3.8386836017438166
2022-04-24,587.0,3.659564423665101
2022-04-25,543.0,3.5178490948213357
2022-04-26,467.0,3.360902360746234
2022-04-27,510.0,3.1906672664338274
2022-04-28,487.0,3.026221556688412
2022-04-29,477.0,2.848094595818355
