scenario,target_source,lstm_peak_date,real_peak_date,t_cut_date,beta_network,beta_household,delta,fermi_mu,scale_factor,calibration_rmse_lstm,mode,runtime_seconds
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.20677400561009635,2.1273476072580957,1.1615103683286452,19.557779445112434,3035629.253975774,2286.2751773516575,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.42157102159931814,2.4750356089784384,1.0929790889803614,10.8696547795601,803451.3334160858,2377.9022418191526,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.480400235201941,3.279978478151148,1.1590365497823905,5.202977530712561,2582164.5360096483,2379.9737050915014,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.21096475474181461,2.2441389205523463,1.1804017951171109,18.445778104198762,4047235.9153153575,2608.303470177106,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.2619672823637227,2.6945631837572472,1.2544004654701144,18.959495452359107,886069.9170347756,2679.0607799449394,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.17886361968878536,1.7950979646679437,0.8537488589098897,14.27807830285077,323168.612149206,2800.915461899974,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.5468874545568527,1.6768554130570081,1.0533219045069118,14.76709378355894,700951.9375143524,2830.9411330054277,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.19632516423934723,2.5092590294965404,1.023404121915258,13.47037509289598,386758.3141123657,2846.082761259148,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.6669239750602681,2.0620384249533568,1.2838466266711657,19.952062740970327,1236580.844435681,2849.335831362224,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.1720944044629022,2.4980056294451196,1.1980442079648126,20.290414951511252,555836.9357872269,2849.9595002715523,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.2407572058408241,2.2201768872119967,1.2191835629755823,19.74979912857003,4361206.862322356,2926.8675680772667,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.7137853315426032,2.390303685095632,1.2083136527078553,12.462351509582286,466738.1463187093,2960.065641048261,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.697174794539431,2.1745248522175133,1.2893595872161379,20.932946644127064,529688.4995757504,3063.2620475234467,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.2636484024180024,2.707351581307318,1.0875662836271334,15.023185654270236,203228.46187610188,3087.284204832434,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.21628161783822855,1.8123109678496947,0.8920119247544251,18.214055550761213,158021.78167368448,3108.7148663197813,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.24377022419361938,2.896759570351567,1.234450941881016,21.456176389475555,204901.7598458461,3154.953438571801,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.22225476027546542,2.107990129730811,0.8827394956731481,16.043738272652018,85866.1834380753,3199.4516687513196,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.25716206170888994,3.87548618239961,1.2654127063277412,15.088928596538489,101132.07948532194,3200.5260095853932,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.08874139325341297,2.3909322844642835,0.923833194897506,18.892605137552113,76874.69293598756,3203.6724652685707,surrogate,0.5399909019470215
lstm_tpeak_minus_14,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-21,0.4805248143227672,3.6217981021262777,1.2957773427845178,15.478475934641912,116300.03495453682,3208.1298547430983,surrogate,0.5399909019470215
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.05403143365234343,0.60275863473411,0.5105258591873301,11.980162742626089,4179779.6556123695,4132.274632970529,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.1905461317064804,1.8649886436506198,1.0275688007572792,16.858670534524414,3918886.6008526026,4771.796479251354,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.19496374284507362,2.165339346820225,1.0326670679661967,13.8693337868641,3389894.5388118993,4811.545349320051,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.30669278794037,2.3299244431213726,1.0961902992215717,13.81468943004471,4762516.244287844,4866.4467078016805,surrogate,0.547266960144043
